Country of Asylum ISO,Country of Origin ISO,Year,Refugees,Asylum Seekers,Country of Origin,Country of Asylum,Origin Latitude,Origin Longitude,Asylum Latitude,Asylum Longitude
GR,SD,2018,443,87,Sudan,Greece,12.862807,30.217636,39.074208,21.824312
GR,SD,2017,398,72,Sudan,Greece,12.862807,30.217636,39.074208,21.824312
HR,SD,2021,5,0,Sudan,Croatia,12.862807,30.217636,45.1,15.2
HR,SD,2020,5,0,Sudan,Croatia,12.862807,30.217636,45.1,15.2
HR,SD,2018,5,0,Sudan,Croatia,12.862807,30.217636,45.1,15.2
HR,SD,2017,5,0,Sudan,Croatia,12.862807,30.217636,45.1,15.2
HR,SD,2019,5,0,Sudan,Croatia,12.862807,30.217636,45.1,15.2
HR,SD,2016,5,0,Sudan,Croatia,12.862807,30.217636,45.1,15.2
HU,SD,2018,68,0,Sudan,Hungary,12.862807,30.217636,47.162494,19.503304
HU,SD,2021,65,0,Sudan,Hungary,12.862807,30.217636,47.162494,19.503304
HU,SD,2016,69,0,Sudan,Hungary,12.862807,30.217636,47.162494,19.503304
HU,SD,2020,67,0,Sudan,Hungary,12.862807,30.217636,47.162494,19.503304
HU,SD,2017,68,0,Sudan,Hungary,12.862807,30.217636,47.162494,19.503304
HU,SD,2019,67,0,Sudan,Hungary,12.862807,30.217636,47.162494,19.503304
ID,SD,2018,400,78,Sudan,Indonesia,12.862807,30.217636,-0.789275,113.921327
ID,SD,2019,400,100,Sudan,Indonesia,12.862807,30.217636,-0.789275,113.921327
ID,SD,2017,266,143,Sudan,Indonesia,12.862807,30.217636,-0.789275,113.921327
ID,SD,2020,409,95,Sudan,Indonesia,12.862807,30.217636,-0.789275,113.921327
ID,SD,2016,196,196,Sudan,Indonesia,12.862807,30.217636,-0.789275,113.921327
ID,SD,2021,416,99,Sudan,Indonesia,12.862807,30.217636,-0.789275,113.921327
IE,SD,2018,159,62,Sudan,Ireland,12.862807,30.217636,53.41291,-8.24389
IE,SD,2016,183,22,Sudan,Ireland,12.862807,30.217636,53.41291,-8.24389
IE,SD,2017,188,32,Sudan,Ireland,12.862807,30.217636,53.41291,-8.24389
IE,SD,2019,202,35,Sudan,Ireland,12.862807,30.217636,53.41291,-8.24389
IE,SD,2020,212,31,Sudan,Ireland,12.862807,30.217636,53.41291,-8.24389
IE,SD,2021,221,37,Sudan,Ireland,12.862807,30.217636,53.41291,-8.24389
IL,SD,2020,1157,4500,Sudan,Israel,12.862807,30.217636,31.046051,34.851612
IL,SD,2019,3248,4461,Sudan,Israel,12.862807,30.217636,31.046051,34.851612
IL,SD,2017,3187,4437,Sudan,Israel,12.862807,30.217636,31.046051,34.851612
IL,SD,2021,1166,4408,Sudan,Israel,12.862807,30.217636,31.046051,34.851612
IL,SD,2018,3351,4631,Sudan,Israel,12.862807,30.217636,31.046051,34.851612
IL,SD,2016,4415,3587,Sudan,Israel,12.862807,30.217636,31.046051,34.851612
