Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern
2021,Ukraine,UKR,Peru,PER,17,0,0,,0,0
2021,Ukraine,UKR,Poland,POL,417,270,0,,0,0
2021,Ukraine,UKR,Portugal,PRT,443,5,0,,0,0
2021,Ukraine,UKR,Romania,ROU,18,5,0,,0,0
2021,Ukraine,UKR,South Africa,ZAF,5,0,0,,0,0
2021,Ukraine,UKR,Russian Federation,RUS,13298,543,0,,0,0
2021,Ukraine,UKR,Spain,ESP,1315,3540,0,,0,0
2021,Ukraine,UKR,Serbia and Kosovo: S/RES/1244 (1999),SRB,15,0,0,,0,0
2021,Ukraine,UKR,Slovakia,SVK,24,0,0,,0,0
2021,Ukraine,UKR,Slovenia,SVN,5,0,0,,0,0
2021,Ukraine,UKR,Sweden,SWE,227,399,0,,0,0
2021,Ukraine,UKR,Switzerland,CHE,86,20,0,,0,0
2021,Ukraine,UKR,Ukraine,UKR,0,0,734000,,0,1620000
2021,Ukraine,UKR,Uruguay,URY,11,5,0,,0,0
2021,Ukraine,UKR,United States of America,USA,2565,11281,0,,0,0
2021,Uruguay,URY,Bolivia (Plurinational State of),BOL,10,0,0,,0,0
2021,Uruguay,URY,Brazil,BRA,0,36,0,,0,0
2021,Uruguay,URY,Canada,CAN,5,11,0,,0,0
2021,Uruguay,URY,Italy,ITA,0,11,0,,0,0
2021,Uruguay,URY,Mexico,MEX,5,35,0,,0,0
2021,Uruguay,URY,New Zealand,NZL,0,7,0,,0,0
2021,Uruguay,URY,Paraguay,PRY,0,5,0,,0,0
2021,Uruguay,URY,Peru,PER,0,5,0,,0,0
2021,Uruguay,URY,Spain,ESP,6,300,0,,0,0
2021,Uruguay,URY,United States of America,USA,5,189,0,,0,0
2021,United States of America,USA,Argentina,ARG,5,11,0,,0,0
2021,United States of America,USA,Australia,AUS,17,52,0,,0,0
2021,United States of America,USA,Austria,AUT,5,0,0,,0,0
